zoneid,npixels,mean,min,max,sum,sampVar,popVar,sampSD,popSD
341Aw,102504,0.232611099832428,0,17.7078037261963,23843.5681772232,2.36312454581727,2.36310149184332,1.5372457662382,1.5372382677527
M331Io,36840,6.13056382786051,0,76.6448822021484,225849.971418381,246.974804522654,246.968100537732,15.7154320501428,15.7152187556436
M341Be,27176,11.8532902297988,0,63.2528343200684,322125.015285015,112.897435135871,112.893280829309,10.6253204721491,10.6251249794677
M341Ct,62046,14.8968854083071,0,82.1769027709961,924292.152043819,201.906096345608,201.902842210026,14.2093665005027,14.2092519933326
331Ha,182132,0.061631694124194,0,62.0021018981934,11225.1037142277,2.22308323995243,2.22307103406198,1.49100075115757,1.49099665796472
M341Bf,20198,13.101798082392,0,62.0072021484375,264630.117668152,157.337572158102,157.329782398118,12.5434274485924,12.5431169331278
M331Hb,76275,9.35329603227068,0,82.326301574707,713422.65486145,258.849968981788,258.846575340766,16.0888150272725,16.0887095610793
M341Cs,14638,22.4797686574758,0,88.5487670898438,329058.853608131,251.40274339781,251.385568733006,15.8556848921076,15.8551432895766
331He,22987,1.65147601735127,0,59.8524932861328,37962.4792108536,32.9594876613655,32.9580538297363,5.74103541718439,5.74091054012656
M341Ad,19851,10.1967683154313,0,49.1023864746094,202416.047829628,110.475604234154,110.470038992895,10.5107375685132,10.5104728244211
M341Cr,14981,11.3424805373552,0,50.9119415283203,169921.700930119,106.269244210074,106.262150608565,10.3086975030832,10.3083534382832
M341Ci,40202,2.20904218228348,0,51.9099578857422,88807.9138121605,31.7476041612707,31.7468144591623,5.63450123447237,5.6344311566619
313Df,8163,16.760534029636,0,37.8477783203125,136816.239283919,39.4779191141349,39.4730829118669,6.28314563846286,6.28276077149742
M331Ff,21122,11.3174100844837,0,36.0261535644531,239046.335804462,60.6222541553237,60.6193840552312,7.78602942168367,7.78584510860775
M313Ak,104374,6.34959660659491,0,82.4030609130859,662732.796216726,55.8692907165309,55.8687554367608,7.47457629010039,7.47454048331808
331Bd,672371,0.142368018653677,0,57.6333999633789,95724.1270701885,2.13966634197203,2.13966315970162,1.46275983742104,1.4627587496582
331Bc,73128,1.37755355096439,0,37.1252212524414,100737.736074924,14.6841922498153,14.6839914485866,3.83199585722836,3.83196965653261
M331Fh,66165,12.7134114471807,0,69.076286315918,841182.868402719,121.478151672866,121.476315684781,11.0217127377221,11.0216294478077
M331Gm,68752,22.1672563054986,0,88.5018157958984,1524043.20551562,296.391532178608,296.387221154461,17.2160254466183,17.2159002423475
313Da,125909,0.186359664857358,0,24.864803314209,23464.3590425253,1.46881527048787,1.4688036047986,1.21194689260209,1.21194207980357
313Dc,31863,5.56776399666748,0,32.1219863891602,177405.664225817,27.8609873164234,27.8601129170474,5.27835081407284,5.27826798458049
331Jd,15121,0.349212785694586,0,16.0849323272705,5280.44653248787,1.55633440851052,1.55623148314788,1.24753132566302,1.24749007336647
313Cd,176192,8.90362360860533,0,65.559814453125,1568747.2508474,70.8529162841691,70.8525141494735,8.41741743554216,8.41739354844916
313Cc,188541,5.47138977636465,0,73.7286376953125,1031581.29982558,77.374835830879,77.3744254435583,8.79629671116652,8.79627338385741
313Bo,372835,3.28175136357529,0,42.4853477478027,1223551.7696386,25.3795300849212,25.3794620131734,5.03781004851525,5.03780329242552
341Bp,38420,17.7690185168085,0,74.4427032470703,682685.691415787,226.916134250213,226.910228052028,15.0637357335494,15.0635396919857
M331Gc,52350,9.04362614940897,0,81.972785949707,473433.828921556,246.988161144953,246.983443128504,15.7158569968345,15.7157068924215
313Ae,51588,0.978021371874792,0,49.492805480957,50454.1665322781,11.6989164773869,11.6986897014608,3.42036788626412,3.42033473529431
315Ad,389490,0.056337007314374,0,18.7072315216064,21942.7009788752,0.322938115867846,0.322937286737147,0.568276443175191,0.568275713661201
313Bs,20897,1.74581075639948,0,18.3462390899658,36482.2073764801,12.4067444235107,12.4061507141542,3.52232088593738,3.52223660678186
M313Ah,137597,28.6552612397992,0,107.813842773438,3942877.98081267,288.749835184419,288.747736666027,16.9926406183506,16.9925788703783
